,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,251,49367,0,49618,0.0,0.3,USA,Rnd,125
1,1.5,251,49353,0,49604,0.0,0.3,USA,Rnd,125
2,1.5,256,49329,0,49585,0.0,0.3,USA,Rnd,145
3,1.5,251,49371,0,49622,0.0,0.3,USA,Rnd,122
4,1.5,252,49369,0,49621,0.0,0.3,USA,Rnd,118
5,1.5,247,49358,0,49605,0.0,0.3,USA,Rnd,122
6,1.5,248,49330,0,49578,0.0,0.3,USA,Rnd,122
7,1.5,255,49349,0,49604,0.0,0.3,USA,Rnd,128
8,1.5,255,49392,0,49647,0.0,0.3,USA,Rnd,130
9,1.5,247,49415,0,49662,0.0,0.3,USA,Rnd,145
10,1.5,253,49372,0,49625,0.0,0.3,USA,Rnd,125
11,1.5,247,49334,0,49581,0.0,0.3,USA,Rnd,116
12,1.5,249,49375,0,49624,0.0,0.3,USA,Rnd,126
13,1.5,254,49362,0,49616,0.0,0.3,USA,Rnd,124
14,1.5,255,49332,0,49587,0.0,0.3,USA,Rnd,142
15,1.5,241,49354,0,49595,0.0,0.3,USA,Rnd,124
16,1.5,249,49346,0,49595,0.0,0.3,USA,Rnd,127
17,1.5,256,49347,0,49603,0.0,0.3,USA,Rnd,121
18,1.5,254,49353,0,49607,0.0,0.3,USA,Rnd,121
19,1.5,250,49333,0,49583,0.0,0.3,USA,Rnd,129
20,1.5,249,49347,0,49596,0.0,0.3,USA,Rnd,124
21,1.5,253,49341,0,49594,0.0,0.3,USA,Rnd,134
22,1.5,255,49360,0,49615,0.0,0.3,USA,Rnd,134
23,1.5,256,49368,0,49624,0.0,0.3,USA,Rnd,121
24,1.5,249,49371,0,49620,0.0,0.3,USA,Rnd,124
25,1.5,257,49366,0,49623,0.0,0.3,USA,Rnd,115
26,1.5,249,49349,0,49598,0.0,0.3,USA,Rnd,127
27,1.5,253,49360,0,49613,0.0,0.3,USA,Rnd,124
28,1.5,255,49363,0,49618,0.0,0.3,USA,Rnd,127
29,1.5,249,49321,0,49570,0.0,0.3,USA,Rnd,135
30,1.5,253,49377,0,49630,0.0,0.3,USA,Rnd,119
31,1.5,250,49362,0,49612,0.0,0.3,USA,Rnd,122
32,1.5,255,49346,0,49601,0.0,0.3,USA,Rnd,123
33,1.5,249,49377,0,49626,0.0,0.3,USA,Rnd,127
