,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,188,49318,0,49506,0.55,0.02,USA,Rnd,157
1,1.5,193,49392,0,49585,0.55,0.02,USA,Rnd,160
2,1.5,191,49379,0,49570,0.55,0.02,USA,Rnd,162
3,1.5,187,49384,0,49571,0.55,0.02,USA,Rnd,161
4,1.5,177,49362,0,49539,0.55,0.02,USA,Rnd,164
5,1.5,170,49390,0,49560,0.55,0.02,USA,Rnd,150
6,1.5,191,49370,0,49561,0.55,0.02,USA,Rnd,158
7,1.5,179,49322,0,49501,0.55,0.02,USA,Rnd,161
8,1.5,182,49367,0,49549,0.55,0.02,USA,Rnd,149
9,1.5,203,49354,0,49557,0.55,0.02,USA,Rnd,152
10,1.5,190,49354,0,49544,0.55,0.02,USA,Rnd,163
11,1.5,182,49398,0,49580,0.55,0.02,USA,Rnd,149
12,1.5,198,49362,0,49560,0.55,0.02,USA,Rnd,161
13,1.5,169,49343,0,49512,0.55,0.02,USA,Rnd,164
14,1.5,206,49377,0,49583,0.55,0.02,USA,Rnd,162
15,1.5,208,49377,0,49585,0.55,0.02,USA,Rnd,146
16,1.5,174,49354,0,49528,0.55,0.02,USA,Rnd,147
17,1.5,171,0,0,171,0.55,0.02,USA,Rnd,125
18,1.5,199,49339,0,49538,0.55,0.02,USA,Rnd,163
19,1.5,184,49347,0,49531,0.55,0.02,USA,Rnd,161
20,1.5,190,49309,0,49499,0.55,0.02,USA,Rnd,159
21,1.5,198,49374,0,49572,0.55,0.02,USA,Rnd,167
22,1.5,181,49367,0,49548,0.55,0.02,USA,Rnd,164
23,1.5,188,49384,0,49572,0.55,0.02,USA,Rnd,155
24,1.5,189,49354,0,49543,0.55,0.02,USA,Rnd,149
25,1.5,184,49356,0,49540,0.55,0.02,USA,Rnd,148
26,1.5,208,49368,0,49576,0.55,0.02,USA,Rnd,152
27,1.5,184,49379,0,49563,0.55,0.02,USA,Rnd,171
28,1.5,195,49373,0,49568,0.55,0.02,USA,Rnd,166
29,1.5,183,49358,0,49541,0.55,0.02,USA,Rnd,155
30,1.5,186,49373,0,49559,0.55,0.02,USA,Rnd,152
31,1.5,188,49353,0,49541,0.55,0.02,USA,Rnd,166
32,1.5,198,49360,0,49558,0.55,0.02,USA,Rnd,158
33,1.5,194,49376,0,49570,0.55,0.02,USA,Rnd,138
34,1.5,174,49387,0,49561,0.55,0.02,USA,Rnd,143
35,1.5,173,49346,0,49519,0.55,0.02,USA,Rnd,173
36,1.5,197,49345,0,49542,0.55,0.02,USA,Rnd,158
37,1.5,183,49352,0,49535,0.55,0.02,USA,Rnd,157
38,1.5,192,49375,0,49567,0.55,0.02,USA,Rnd,186
39,1.5,183,49370,0,49553,0.55,0.02,USA,Rnd,169
40,1.5,203,49326,0,49529,0.55,0.02,USA,Rnd,141
41,1.5,185,49354,0,49539,0.55,0.02,USA,Rnd,198
42,1.5,206,49376,0,49582,0.55,0.02,USA,Rnd,170
43,1.5,178,49371,0,49549,0.55,0.02,USA,Rnd,160
44,1.5,197,49350,0,49547,0.55,0.02,USA,Rnd,144
45,1.5,194,49350,0,49544,0.55,0.02,USA,Rnd,151
46,1.5,186,49331,0,49517,0.55,0.02,USA,Rnd,198
47,1.5,186,49396,0,49582,0.55,0.02,USA,Rnd,184
48,1.5,199,49330,0,49529,0.55,0.02,USA,Rnd,146
49,1.5,180,49378,0,49558,0.55,0.02,USA,Rnd,165
50,1.5,191,49337,0,49528,0.55,0.02,USA,Rnd,159
51,1.5,185,49334,0,49519,0.55,0.02,USA,Rnd,150
