,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,225,49351,0.3,49576,0.5,0.2,USA,Rnd,122
1,1.5,214,49390,0.3,49604,0.5,0.2,USA,Rnd,119
2,1.5,211,49334,0.3,49545,0.5,0.2,USA,Rnd,125
3,1.5,211,49358,0.3,49569,0.5,0.2,USA,Rnd,117
4,1.5,214,49347,0.3,49561,0.5,0.2,USA,Rnd,128
5,1.5,213,49349,0.3,49562,0.5,0.2,USA,Rnd,122
6,1.5,214,49374,0.3,49588,0.5,0.2,USA,Rnd,125
7,1.5,216,49345,0.3,49561,0.5,0.2,USA,Rnd,127
8,1.5,232,49394,0.3,49626,0.5,0.2,USA,Rnd,114
9,1.5,215,49356,0.3,49571,0.5,0.2,USA,Rnd,129
10,1.5,217,49362,0.3,49579,0.5,0.2,USA,Rnd,127
11,1.5,235,49371,0.3,49606,0.5,0.2,USA,Rnd,127
12,1.5,213,49353,0.3,49566,0.5,0.2,USA,Rnd,138
13,1.5,225,49356,0.3,49581,0.5,0.2,USA,Rnd,124
14,1.5,227,49314,0.3,49541,0.5,0.2,USA,Rnd,127
15,1.5,217,49352,0.3,49569,0.5,0.2,USA,Rnd,130
16,1.5,222,49346,0.3,49568,0.5,0.2,USA,Rnd,135
17,1.5,221,49351,0.3,49572,0.5,0.2,USA,Rnd,127
18,1.5,214,49362,0.3,49576,0.5,0.2,USA,Rnd,136
19,1.5,220,49374,0.3,49594,0.5,0.2,USA,Rnd,138
20,1.5,221,49347,0.3,49568,0.5,0.2,USA,Rnd,128
21,1.5,219,49375,0.3,49594,0.5,0.2,USA,Rnd,136
22,1.5,227,49357,0.3,49584,0.5,0.2,USA,Rnd,122
23,1.5,215,49347,0.3,49562,0.5,0.2,USA,Rnd,137
24,1.5,222,49343,0.3,49565,0.5,0.2,USA,Rnd,143
25,1.5,212,49374,0.3,49586,0.5,0.2,USA,Rnd,131
26,1.5,212,49337,0.3,49549,0.5,0.2,USA,Rnd,132
27,1.5,229,49378,0.3,49607,0.5,0.2,USA,Rnd,115
28,1.5,219,49328,0.3,49547,0.5,0.2,USA,Rnd,115
29,1.5,221,49372,0.3,49593,0.5,0.2,USA,Rnd,134
30,1.5,213,49397,0.3,49610,0.5,0.2,USA,Rnd,125
31,1.5,227,49358,0.3,49585,0.5,0.2,USA,Rnd,138
32,1.5,232,49346,0.3,49578,0.5,0.2,USA,Rnd,139
33,1.5,224,49372,0.3,49596,0.5,0.2,USA,Rnd,129
34,1.5,227,49333,0.3,49560,0.5,0.2,USA,Rnd,137
