,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,239,49370,0.1,49609,0.5,0.5,USA,Rnd,129
1,1.5,247,49342,0.1,49589,0.5,0.5,USA,Rnd,118
2,1.5,234,49313,0.1,49547,0.5,0.5,USA,Rnd,130
3,1.5,246,49344,0.1,49590,0.5,0.5,USA,Rnd,116
4,1.5,236,49368,0.1,49604,0.5,0.5,USA,Rnd,114
5,1.5,236,49381,0.1,49617,0.5,0.5,USA,Rnd,124
6,1.5,233,49373,0.1,49606,0.5,0.5,USA,Rnd,119
7,1.5,237,49365,0.1,49602,0.5,0.5,USA,Rnd,124
8,1.5,241,49367,0.1,49608,0.5,0.5,USA,Rnd,118
9,1.5,234,49303,0.1,49537,0.5,0.5,USA,Rnd,119
10,1.5,235,49334,0.1,49569,0.5,0.5,USA,Rnd,120
11,1.5,240,49363,0.1,49603,0.5,0.5,USA,Rnd,125
12,1.5,236,49371,0.1,49607,0.5,0.5,USA,Rnd,121
13,1.5,228,49353,0.1,49581,0.5,0.5,USA,Rnd,127
14,1.5,238,49373,0.1,49611,0.5,0.5,USA,Rnd,126
15,1.5,234,49360,0.1,49594,0.5,0.5,USA,Rnd,114
16,1.5,237,49307,0.1,49544,0.5,0.5,USA,Rnd,124
17,1.5,234,49362,0.1,49596,0.5,0.5,USA,Rnd,126
18,1.5,233,49320,0.1,49553,0.5,0.5,USA,Rnd,119
19,1.5,228,49334,0.1,49562,0.5,0.5,USA,Rnd,115
20,1.5,232,49353,0.1,49585,0.5,0.5,USA,Rnd,117
21,1.5,238,49311,0.1,49549,0.5,0.5,USA,Rnd,116
22,1.5,232,49297,0.1,49529,0.5,0.5,USA,Rnd,120
23,1.5,243,49348,0.1,49591,0.5,0.5,USA,Rnd,117
24,1.5,239,49350,0.1,49589,0.5,0.5,USA,Rnd,119
25,1.5,235,49371,0.1,49606,0.5,0.5,USA,Rnd,125
26,1.5,233,49360,0.1,49593,0.5,0.5,USA,Rnd,118
27,1.5,235,49382,0.1,49617,0.5,0.5,USA,Rnd,117
28,1.5,227,49369,0.1,49596,0.5,0.5,USA,Rnd,114
29,1.5,237,49355,0.1,49592,0.5,0.5,USA,Rnd,115
30,1.5,229,49360,0.1,49589,0.5,0.5,USA,Rnd,113
31,1.5,244,49328,0.1,49572,0.5,0.5,USA,Rnd,120
32,1.5,236,49378,0.1,49614,0.5,0.5,USA,Rnd,123
33,1.5,235,49328,0.1,49563,0.5,0.5,USA,Rnd,117
34,1.5,239,49343,0.1,49582,0.5,0.5,USA,Rnd,117
35,1.5,239,49318,0.1,49557,0.5,0.5,USA,Rnd,125
36,1.5,234,49404,0.1,49638,0.5,0.5,USA,Rnd,115
37,1.5,234,49370,0.1,49604,0.5,0.5,USA,Rnd,113
